Programa,Estudiantes totales,Mujeres,Hombres,Estudiantes nuevos,Graduados,Doble programa,Profesores PhD,Profesores Maestría,Años desde 2021,Salario Mensual en Millones de COP
Gobierno (2019),273,146,128,"25,5",31,81,13,1,2,"1,8"
Gobierno (2018),"242,5",137,115,29,11,56,11,1,3,-
Ambiental (2020),256,162,83,"15,5",111,65,22,7,1,"2,1"
Ambiental (2019),326,214,134,23,95,90,22,8,2,"2,6"
Ambiental (2018),"366,5",219,138,"22,5",71,114,22,8,3,"3,2"
Biomedica (2020),"515,5",269,241,74,78,122,8,1,1,2
Biomedica (2019),463,237,229,"58,5",82,119,8,1,2,"2,4"
Biomedica (2018),"437,5",228,218,60,67,124,6,1,3,"3,2"
Civil (2020),673,177,463,70,227,177,22,7,1,"2,1"
Civil (2019),761,220,568,66,187,189,22,8,2,"2,5"
Civil (2018),"798,5",215,587,"71,5",175,207,22,8,3,3
Electrica (2020),"104,5",19,80,9,43,19,16,3,1,"2,5"
Electrica (2019),118,27,88,9,18,22,19,2,2,3
Electrica (2018),121,28,92,"12,5",26,19,17,3,3,"3,6"
Electronica (2020),"352,5",65,276,43,72,131,16,3,1,"2,7"
Electronica (2019),"361,5",68,302,30,38,144,19,2,2,"2,6"
Electronica (2018),"364,5",62,308,"37,5",45,138,17,3,3,"3,3"
Industrial (2020),1342,523,814,131,399,283,16,13,1,3
Industrial (2019),"1438,5",539,932,139,373,326,18,13,2,"3,3"
Industrial (2018),1506,559,949,139,339,412,18,13,3,"4,2"
Mecanica (2020),644,87,543,74,145,159,11,2,1,"2,4"
Mecanica (2019),663,96,566,73,138,181,12,2,2,"3,3"
Mecanica (2018),691,97,590,77,114,216,11,3,3,3
Ing. Quimica (2020),541,267,255,56,122,131,11,0,1,"2,4"
Ing. Quimica (2019),583,307,302,"54,5",132,176,12,0,2,"2,7"
Ing. Quimica (2018),"626,5",297,303,46,123,212,10,0,3,"3,2"
Sistemas (2020),"702,5",94,602,91,131,127,25,11,1,3
Sistemas (2019),"666,5",86,590,68,64,131,25,10,2,"3,6"
Sistemas (2018),617,85,542,71,62,125,24,10,3,"3,7"
Medicina (2020),776,453,309,51,138,71,19,2,1,3
Medicina (2019),"825,5",478,349,76,118,77,18,1,2,"2,9"
Medicina (2018),"780,5",460,331,53,82,58,16,1,3,"2,9"
